Park,Lat,Long,
Acadia National Park,44.338974,-68.27343,
American Samoa National Park,14.2579,-170.686,
Arches National Park,38.733082,-109.592514,
Badlands National Park,43.6504,-102.4343,
Big Bend National Park,29.3816,-103.2432,
Biscayne National Park,25.442,-80.2619,
Black Canyon of the Gunnison National Park,38.58167,-107.7208,
Bryce Canyon National Park,37.593048,-112.187332,
Canyonlands National Park,38.0252,-109.966,
Capitol Reef National Park,38.0896,-111.14991,
Carlsbad Caverns National Park,32.1648,-104.4094,
Channel Islands National Park,33.998028,-119.772949,
Congaree National Park,33.78333,-80.78333,
Crater Lake National Park,42.944611,-122.109245,
Cuyahoga Valley National Park,41.20906,-81.55701,
Death Valley National Park,36.2037,-116.4117,
Denali National Park,63.129887,-151.197418,
Dry Tortugas National Park,24.7384,-81.7862,
Everglades National Park,25.286615,-80.898651,
Gateway Arch National Park,38.6249,-90.1859,
Gates of the Arctic National Park,67.915199,-153.46373,
Glacier National Park,48.7596,-113.787,
Glacier Bay National Park,58.665806,-136.900208,
Grand Canyon National Park,36.266033,-112.363808,
Grand Teton National Park,43.790802,-110.684944,
Great Basin National Park,38.868,-114.1513,
Great Sand Dunes National Park,37.75444,-105.55861,
Great Smoky Mountains National Park,35.611763,-83.489548,
Guadalupe Mountains National Park,31.9235,-104.8529,
Haleakalā National Park,20.701283,-156.173325,
Hawaii Volcanoes National Park,19.36769,-155.36731,
Hot Springs National Park,34.52153,-93.042267,
Indiana Dunes National Park,41.6533,-87.0524,
Isla Royale National Park,47.9624,-88.8917,
Joshua Tree National Park,33.881866,-115.90065,
Katmai National Park,58.597813,-154.693756,
Kenai Fjords National Park,60.043777,-149.81636,
Kings Canyon National Park,36.887856,-118.555145,
Kobuk Valley National Park,67.34409,-159.13696,
Lake Clark National Park,60.412697,-154.323502,
Lassen Volcanic National Park,40.4579,-121.4461,
Mammoth Cave National Park,37.18364,-86.159943,
Mesa Verde National Park,37.230873,-108.461838,
Mount Rainier National Park,46.879967,-121.726906,
New River Gorge National Park,37.75913,-80.90582,
North Cascades National Park,48.4004,-121.0219,
Olympic National Park,47.6948,-123.5455,
Petrified Forest National Park,34.909988,-109.806793,
Pinnacles National Park,36.491508,-121.197243,
Redwood National Park,41.213181,-124.004631,
Rocky Mountain National Park,40.343182,-105.688103,
Saguaro National Park,32.2432,-111.1309,
Sequoia National Park,36.5231,-118.552,
Shenandoah National Park,38.700516,-78.292694,
Theodore Roosevelt National Park,47.3352,-103.2491,
Virgin Islands National Park,18.3435,-64.7501,
Voyageurs National Park,48.4711,-92.8458,
White Sands National Park,32.77972,-106.171669,
Wind Cave National Park,43.4348,-102.8731,
Wrangell-St. Elias National Park,61.710445,-142.985687,
Yellowstone National Park,44.429764,-110.584663,
Yosemite National Park,37.865101,-119.53833,
Zion National Park,37.297817,-113.02877,
